policy_name,policy_file,policy_version,datasource_name,api_service,method,endpoint,operation,field,permission
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_currency_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/currency/currency_reference.json,Get Raw Content,{entire response},
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_currency_code,Flexera,GET,https://{rs_optima_host}/bill-analysis/orgs/{org}/settings/currency_code,Get Currency Code,id,
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_aws_regions_reference,GitHub,GET,https://raw.githubusercontent.com/flexera-public/policy_templates/master/data/aws/regions.json,Get Raw Content,{entire response},
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_billing_centers,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers,List Billing Centers,href,
AWS Cheaper Regions,cost/aws/cheaper_regions/aws_cheaper_regions.pt,1.2.1,ds_costs,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,billing_center_id,
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_trail_list_with_logging,AWS,GET,https://cloudtrail.{region}.amazonaws.com/?Action=GetTrailStatus&Name={dynamic},GetTrailStatus,IsLogging,cloudtrail:GetTrailStatus
AWS CloudTrail Not Enabled In All Regions,security/aws/log_ensure_cloudtrail_multiregion/log_ensure_cloudtrail_multiregion.pt,3.1.1,ds_trail_list_with_selectors,AWS,GET,https://cloudtrail.{region}.amazonaws.com/?Action=GetEventSelectors&TrailName={dynamic},GetEventSelectors,EventSelectors,cloudtrail:GetEventSelectors
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_aws_buckets_with_region,AWS,GET,https://{bucket}.s3.amazonaws.com/?location,List Buckets,LocationConstraint,s3:GetBucketLocation
AWS CloudTrail S3 Buckets Without Access Logging,security/aws/log_ensure_cloudtrail_bucket_access_logging/log_ensure_cloudtrail_bucket_access_logging.pt,3.1.1,ds_aws_buckets_with_access_logging_status,AWS,GET,https://{id}.s3.amazonaws.com/?logging,List Buckets,TargetBucket,s3:GetBucketLogging
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_billing_centers_aws_acc,Flexera,GET,https://{rs_optima_host}/analytics/orgs/{org}/billing_centers?view=allocation_table,List Billing Centers,href,
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_cloud_vendor_accounts_fallback,Flexera,POST,https://{rs_optima_host}/bill-analysis/orgs/{org}/costs/aggregated,Request Aggregated Costs,vendor_account,
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_get_caller_identity,AWS,GET,https://sts.amazonaws.com/?Action=GetCallerIdentity&Version=2011-06-15,GetCallerIdentity,Account,sts:GetCallerIdentity
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_trail_list,AWS,GET,https://cloudtrail.us-east-1.amazonaws.com/?Action=DescribeTrails,DescribeTrails,Name,cloudtrail:DescribeTrails
AWS CloudTrails Not Integrated With CloudWatch,security/aws/log_cloudtrail_cloudwatch_integrated/log_cloudtrail_cloudwatch_integrated.pt,3.1.1,ds_trail_list_with_cw,AWS,GET,https://cloudtrail.{region}.amazonaws.com/?Action=GetTrailStatus&Name={dynamic},GetTrailStatus,LatestCloudWatchLogsDeliveryTime,cloudtrail:GetTrailStatus
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_applied_policy,Flexera,GET,https://{flexera_api_host}/policy/v1/orgs/{org}/projects/{project}/applied-policies,List Applied Policies,{entire response},
AWS CloudTrails With Read Logging Enabled,cost/aws/cloudtrail_read_logging/aws_cloudtrail_read_logging.pt,0.2.4,ds_cloud_vendor_accounts,Flexera,GET,https://{flexera_api_host}/finops-analytics/v1/orgs/{org}/cloud-vendor-accounts,List Cloud Vendor Accounts,accountId,
